Année	Canton (-) / District (>>) / Commune (......)	Type de population	Sexe	Nationalité	0 ans	1 an	2 ans	3 ans	4 ans	5 ans	6 ans	7 ans	8 ans	9 ans	10 ans	11 ans	12 ans	13 ans	14 ans	15 ans	16 ans	17 ans	18 ans	19 ans	20 ans	21 ans	22 ans	23 ans	24 ans	25 ans	26 ans	27 ans	28 ans	29 ans	30 ans	31 ans	32 ans	33 ans	34 ans	35 ans	36 ans	37 ans	38 ans	39 ans	40 ans	41 ans	42 ans	43 ans	44 ans	45 ans	46 ans	47 ans	48 ans	49 ans	50 ans	51 ans	52 ans	53 ans	54 ans	55 ans	56 ans	57 ans	58 ans	59 ans	60 ans	61 ans	62 ans	63 ans	64 ans	65 ans	66 ans	67 ans	68 ans	69 ans	70 ans	71 ans	72 ans	73 ans	74 ans	75 ans	76 ans	77 ans	78 ans	79 ans	80 ans	81 ans	82 ans	83 ans	84 ans	85 ans	86 ans	87 ans	88 ans	89 ans	90 ans	91 ans	92 ans	93 ans	94 ans	95 ans	96 ans	97 ans	98 ans	99 ans	100 ans ou plus
2013	Suisse	Population résidante permanente	Sexe - Total	Nationalité - Total	81409	82850	82237	83341	81773	81171	79780	78984	78901	78905	77662	78703	79077	83964	83520	84875	86352	88800	89465	91742	94008	98418	100642	102501	103392	106548	105524	108816	110034	112285	112042	115092	114941	115860	112799	111703	111964	111412	110841	113651	114358	117821	121986	123891	127255	130255	131632	134445	134937	136985	133055	127962	123655	120293	116508	112091	109377	105887	101491	98302	94687	93599	89583	91526	89319	89561	87569	86856	82537	80903	77452	73399	68140	62135	59946	57332	54226	53247	51575	49148	45947	43899	40870	38788	35049	31793	28158	25623	22494	19271	16203	13235	11080	8253	5439	3878	2844	2040	1348	1014	1495
2014	Suisse	Population résidante permanente	Sexe - Total	Nationalité - Total	83730	83494	83897	82976	84198	82637	82082	80602	79807	79631	79626	78370	79465	79805	84661	84237	85664	87128	90369	91373	93302	95596	100536	103338	105541	106422	110123	109260	112188	113451	115063	114796	117620	117166	117803	114646	113408	113520	112829	112317	114969	115627	119165	123116	124883	128140	131074	132348	135157	135381	137385	133323	128126	123612	120169	116355	111835	108928	105395	100950	97474	93958	92790	88729	90535	88082	88411	86626	85862	81575	79860	76403	72359	67018	61086	58771	56078	52924	51759	50050	47388	44048	41857	38737	36471	32630	29283	25534	22974	19733	16766	13772	10983	8982	6533	4184	2901	2016	1430	936	1543
